年,月,日,予測湿度
2024,12,17,82.204396496698
2024,12,18,71.53921118319309
2024,12,19,74.27466482548922
2024,12,20,77.13515314554714
2024,12,21,86.54197886129283
2024,12,22,65.23121253757972
2024,12,23,69.13361924525303
2024,12,24,77.54678315927639
2024,12,25,83.62459971276587
2024,12,26,63.57087385628418
2024,12,27,67.31901474342544
2024,12,28,72.34416986701126
2024,12,29,76.29521712327994
2024,12,30,86.90015933506808
2024,12,31,82.93721780391729
