ダウンロードした時刻：2024/07/10 15:58:43

,那覇,那覇,那覇
1994/8/23,晴一時雨,8,1
1994/8/24,晴一時雨、雷を伴う,8,1
1994/8/25,晴一時雨,8,1
1994/8/26,晴後雨一時曇,8,1
1994/8/27,曇,8,1
1994/8/28,晴,8,1
1994/8/29,曇一時大雨、雷を伴う,8,1
1994/8/30,晴一時雨,8,1
1994/8/31,雨時々晴一時曇,8,1
1994/9/1,曇時々雨一時晴,8,1
1994/9/2,晴時々雨一時曇,8,1
1994/9/3,晴,8,1
1994/9/4,曇一時晴,8,1
1994/9/5,晴,8,1
1994/9/6,晴一時雨,8,1
1994/9/7,晴,8,1
1994/9/8,晴,8,1
1994/9/9,晴,8,1
1994/9/10,晴,8,1
1994/9/11,大雨一時曇,8,1
1994/9/12,曇時々晴,8,1
1994/9/13,晴,8,1
1994/9/14,曇一時雨,8,1
1994/9/15,曇時々晴一時雨,8,1
1994/9/16,晴,8,1
1994/9/17,晴,8,1
1994/9/18,晴時々曇一時雨,8,1
1994/9/19,晴一時曇,8,1
1994/9/20,晴,8,1
1994/9/21,晴,8,1
1994/9/22,曇,8,1
1994/9/23,曇一時雨,8,1
1994/9/24,晴,8,1
1994/9/25,晴,8,1
1994/9/26,晴,8,1
1994/9/27,曇一時雨、大風を伴う,8,1
1994/9/28,曇,8,1
1994/9/29,曇一時晴,8,1
1994/9/30,晴,8,1
1994/10/1,晴,8,1
1994/10/2,晴一時曇,8,1
1994/10/3,晴,8,1
1994/10/4,晴,8,1
1994/10/5,晴時々雨,8,1
1994/10/6,晴後曇一時雨,8,1
1994/10/7,晴一時曇,8,1
1994/10/8,大雨,8,1
1994/10/9,雨時々曇,8,1
1994/10/10,曇一時雨,8,1
1994/10/11,晴時々雨,8,1
1994/10/12,曇時々雨一時晴,8,1
1994/10/13,曇一時雨,8,1
1994/10/14,晴時々曇一時雨,8,1
1994/10/15,晴一時雨,8,1
1994/10/16,晴,8,1
1994/10/17,晴,8,1
1994/10/18,晴,8,1
1994/10/19,晴時々曇,8,1
1994/10/20,晴時々曇一時雨,8,1
1994/10/21,曇一時雨,8,1
1994/10/22,曇時々晴,8,1
1994/10/23,曇,8,1
1994/10/24,曇時々雨,8,1
1994/10/25,晴時々雨一時曇,8,1
1994/10/26,雨一時曇,8,1
1994/10/27,雨後曇,8,1
1994/10/28,晴,8,1
1994/10/29,晴,8,1
1994/10/30,晴時々曇一時雨,8,1
1994/10/31,晴時々雨一時曇,8,1
1994/11/1,晴,8,1
1994/11/2,晴,8,1
1994/11/3,晴,8,1
1994/11/4,晴一時曇,8,1
1994/11/5,曇一時晴,8,1
1994/11/6,晴,8,1
1994/11/7,晴,8,1
1994/11/8,晴,8,1
1994/11/9,晴後曇一時雨,8,1
1994/11/10,曇時々晴一時雨,8,1
1994/11/11,大雨一時曇後晴,8,1
1994/11/12,晴一時雨,8,1
1994/11/13,晴,8,1
1994/11/14,晴,8,1
1994/11/15,晴,8,1
1994/11/16,晴,8,1
1994/11/17,晴,8,1
1994/11/18,曇,8,1
1994/11/19,晴,8,1
1994/11/20,晴,8,1
1994/11/21,晴一時曇,8,1
1994/11/22,晴一時曇,8,1
1994/11/23,曇時々雨,8,1
1994/11/24,晴,8,1
1994/11/25,晴,8,1
1994/11/26,曇,8,1
1994/11/27,曇一時雨,8,1
1994/11/28,雨一時曇,8,1
1994/11/29,曇一時晴,8,1
1994/11/30,晴,8,1
1994/12/1,快晴,8,1
1994/12/2,晴一時曇,8,1
1994/12/3,曇一時雨,8,1
1994/12/4,曇時々雨,8,1
1994/12/5,晴一時曇,8,1
1994/12/6,晴,8,1
1994/12/7,曇,8,1
1994/12/8,曇一時晴,8,1
1994/12/9,曇一時雨,8,1
1994/12/10,曇時々雨一時晴,8,1
1994/12/11,晴,8,1
1994/12/12,曇一時雨,8,1
1994/12/13,雨時々曇,8,1
1994/12/14,晴時々曇,8,1
1994/12/15,雨一時曇,8,1
1994/12/16,曇,8,1
1994/12/17,晴,8,1
1994/12/18,晴一時曇,8,1
1994/12/19,晴一時曇,8,1
1994/12/20,晴,8,1
1994/12/21,晴後曇一時雨,8,1
1994/12/22,晴一時曇,8,1
1994/12/23,晴,8,1
1994/12/24,曇時々晴,8,1
1994/12/25,曇,8,1
1994/12/26,曇一時雨,8,1
1994/12/27,曇時々晴,8,1
1994/12/28,曇一時雨,8,1
1994/12/29,雨時々曇,8,1
1994/12/30,曇一時雨,8,1
1994/12/31,曇時々晴一時雨,8,1
1995/1/1,曇時々雨,8,1
1995/1/2,晴,8,1
1995/1/3,晴時々曇一時雨,8,1
1995/1/4,雨時々曇,8,1
1995/1/5,曇時々晴,8,1
1995/1/6,晴一時曇,8,1
1995/1/7,晴,8,1
1995/1/8,晴,8,1
1995/1/9,晴一時曇,8,1
1995/1/10,晴,8,1
1995/1/11,曇時々雨,8,1
1995/1/12,曇時々雨一時晴,8,1
1995/1/13,曇一時雨,8,1
1995/1/14,曇時々晴一時雨,8,1
1995/1/15,曇一時晴,8,1
1995/1/16,雨時々曇,8,1
1995/1/17,晴,8,1
1995/1/18,晴,8,1
1995/1/19,曇時々晴一時雨,8,1
1995/1/20,晴,8,1
1995/1/21,晴,8,1
1995/1/22,晴後一時雨,8,1
1995/1/23,雨一時曇,8,1
1995/1/24,曇一時雨,8,1
1995/1/25,曇一時雨,8,1
1995/1/26,雨時々曇,8,1
1995/1/27,雨後一時曇,8,1
1995/1/28,雨時々曇,8,1
1995/1/29,晴一時雨,8,1
1995/1/30,曇時々雨,8,1
1995/1/31,雨,8,1
1995/2/1,晴時々曇一時雨,8,1
1995/2/2,晴後曇時々雨,8,1
1995/2/3,晴後薄曇,8,1
1995/2/4,雨,8,1
1995/2/5,曇時々雨,8,1
1995/2/6,曇時々晴一時雨,8,1
1995/2/7,曇一時晴,8,1
1995/2/8,薄曇一時晴,8,1
1995/2/9,曇一時雨,8,1
1995/2/10,晴一時曇,8,1
1995/2/11,薄曇,8,1
1995/2/12,雨時々曇,8,1
1995/2/13,雨時々曇,8,1
1995/2/14,曇一時雨,8,1
1995/2/15,曇,8,1
1995/2/16,晴一時雨,8,1
1995/2/17,曇,8,1
1995/2/18,曇,8,1
1995/2/19,晴,8,1
1995/2/20,曇時々晴,8,1
1995/2/21,曇,8,1
1995/2/22,雨,8,1
1995/2/23,曇時々雨一時晴,8,1
1995/2/24,曇時々雨,8,1
1995/2/25,雨時々曇,8,1
1995/2/26,雨時々曇,8,1
1995/2/27,雨時々曇,8,1
1995/2/28,晴,8,1
1995/3/1,曇後晴,8,1
1995/3/2,曇,8,1
1995/3/3,雨時々曇,8,1
1995/3/4,曇時々雨一時晴,8,1
1995/3/5,曇時々雨一時晴,8,1
1995/3/6,晴,8,1
1995/3/7,晴,8,1
1995/3/8,曇時々晴,8,1
1995/3/9,雨時々曇,8,1
1995/3/10,雨時々曇後晴,8,1
1995/3/11,晴一時曇,8,1
1995/3/12,曇時々雨,8,1
1995/3/13,曇,8,1
1995/3/14,曇,8,1
1995/3/15,晴時々曇一時雨,8,1
1995/3/16,大雨一時曇、雷を伴う,8,1
1995/3/17,大雨一時曇、雷を伴う,8,1
1995/3/18,雨時々曇,8,1
1995/3/19,曇一時晴,8,1
1995/3/20,曇一時雨,8,1
1995/3/21,雨,8,1
1995/3/22,晴,8,1
1995/3/23,曇一時雨,8,1
1995/3/24,晴,8,1
1995/3/25,晴一時曇後雨,8,1
1995/3/26,曇時々雨一時晴,8,1
1995/3/27,晴一時曇,8,1
1995/3/28,晴一時薄曇,8,1
1995/3/29,曇一時雨,8,1
1995/3/30,雨時々曇,8,1
1995/3/31,曇時々雨,8,1
1995/4/1,雨一時曇,8,1
1995/4/2,雨時々曇,8,1
1995/4/3,曇一時雨,8,1
1995/4/4,晴一時曇,8,1
1995/4/5,雨,8,1
1995/4/6,曇時々雨,8,1
1995/4/7,曇時々雨,8,1
1995/4/8,晴後曇,8,1
1995/4/9,曇時々晴,8,1
1995/4/10,曇,8,1
1995/4/11,曇一時雨,8,1
1995/4/12,快晴,8,1
1995/4/13,快晴,8,1
1995/4/14,曇一時晴,8,1
1995/4/15,曇一時晴,8,1
1995/4/16,曇,8,1
1995/4/17,晴一時曇,8,1
1995/4/18,晴,8,1
1995/4/19,雨時々曇,8,1
1995/4/20,曇一時晴,8,1
1995/4/21,曇一時雨,8,1
1995/4/22,晴一時曇,8,1
1995/4/23,曇一時雨,8,1
1995/4/24,曇一時晴,8,1
1995/4/25,晴一時曇,8,1
1995/4/26,曇一時雨,8,1
1995/4/27,曇後雨,8,1
1995/4/28,晴,8,1
1995/4/29,曇一時晴,8,1
1995/4/30,曇,8,1
1995/5/1,晴一時曇,8,1
1995/5/2,晴,8,1
1995/5/3,晴,8,1
1995/5/4,曇一時雨,8,1
1995/5/5,雨一時曇,8,1
1995/5/6,曇一時雨,8,1
1995/5/7,雨,8,1
1995/5/8,曇,8,1
1995/5/9,曇,8,1
1995/5/10,大雨一時曇,8,1
1995/5/11,晴,8,1
1995/5/12,薄曇,8,1
1995/5/13,曇,8,1
1995/5/14,雨一時曇,8,1
1995/5/15,晴,8,1
1995/5/16,雨後曇時々晴,8,1
1995/5/17,雨,8,1
1995/5/18,雨一時曇,8,1
1995/5/19,曇時々雨,8,1
1995/5/20,雨後曇,8,1
1995/5/21,雨時々曇,8,1
1995/5/22,曇一時雨,8,1
1995/5/23,曇,8,1
1995/5/24,曇一時晴,8,1
1995/5/25,曇,8,1
1995/5/26,曇時々晴,8,1
1995/5/27,雨時々曇,8,1
1995/5/28,晴一時曇,8,1
1995/5/29,曇一時晴,8,1
1995/5/30,曇,8,1
1995/5/31,曇一時晴,8,1
1995/6/1,曇一時雨、雷を伴う,8,1
1995/6/2,曇一時雨,8,1
1995/6/3,曇,8,1
1995/6/4,曇,8,1
1995/6/5,雨一時曇,8,1
1995/6/6,曇一時晴,8,1
1995/6/7,曇時々雨,8,1
1995/6/8,雨時々曇、雷を伴う,8,1
1995/6/9,雨時々曇,8,1
1995/6/10,大雨,8,1
1995/6/11,曇,8,1
1995/6/12,雨時々曇,8,1
1995/6/13,晴一時曇,8,1
1995/6/14,曇,8,1
1995/6/15,雨時々曇,8,1
1995/6/16,雨時々曇,8,1
1995/6/17,曇一時霧,8,1
1995/6/18,曇,8,1
1995/6/19,曇時々晴,8,1
1995/6/20,雨時々曇,8,1
1995/6/21,薄曇,8,1
1995/6/22,晴時々曇,8,1
1995/6/23,晴,8,1
1995/6/24,曇,8,1
1995/6/25,曇,8,1
1995/6/26,晴時々曇,8,1
1995/6/27,薄曇一時晴,8,1
1995/6/28,曇後雨,8,1
1995/6/29,曇一時雨,8,1
1995/6/30,曇一時雨,8,1
1995/7/1,曇,8,1
1995/7/2,晴,8,1
1995/7/3,曇一時晴,8,1
1995/7/4,晴後曇,8,1
1995/7/5,晴,8,1
1995/7/6,晴,8,1
1995/7/7,晴,8,1
1995/7/8,晴時々曇一時雨,8,1
1995/7/9,曇時々雨,8,1
1995/7/10,曇一時雨,8,1
1995/7/11,雨一時曇後晴,8,1
1995/7/12,晴一時雨,8,1
1995/7/13,曇一時晴,8,1
1995/7/14,晴一時雨,8,1
1995/7/15,薄曇,8,1
1995/7/16,薄曇一時晴,8,1
1995/7/17,晴時々薄曇,8,1
1995/7/18,薄曇,8,1
1995/7/19,晴時々薄曇,8,1
1995/7/20,晴,8,1
1995/7/21,雨一時曇、大風を伴う,8,1
1995/7/22,雨時々曇、大風を伴う,8,1
1995/7/23,曇一時雨,8,1
1995/7/24,曇一時晴,8,1
1995/7/25,曇,8,1
1995/7/26,曇一時雨,8,1
1995/7/27,晴,8,1
1995/7/28,晴一時曇,8,1
1995/7/29,晴,8,1
1995/7/30,晴時々曇一時雨,8,1
1995/7/31,晴後曇,8,1
1995/8/1,晴一時雨,8,1
1995/8/2,晴一時曇,8,1
1995/8/3,晴,8,1
1995/8/4,晴一時雨,8,1
1995/8/5,晴,8,1
1995/8/6,晴,8,1
1995/8/7,晴,8,1
1995/8/8,晴一時雨,8,1
1995/8/9,晴,8,1
1995/8/10,晴一時雨,8,1
1995/8/11,晴,8,1
1995/8/12,晴時々薄曇,8,1
1995/8/13,晴時々薄曇一時雨、雷を伴う,8,1
1995/8/14,晴一時曇,8,1
1995/8/15,晴時々曇一時雨、雷を伴う,8,1
1995/8/16,薄曇時々晴,8,1
1995/8/17,晴時々曇一時雨、雷を伴う,8,1
1995/8/18,晴一時薄曇,8,1
1995/8/19,晴一時雨,8,1
1995/8/20,晴,8,1
1995/8/21,曇時々雨,8,1
1995/8/22,雨時々曇,8,1
1995/8/23,雨時々曇,8,1
1995/8/24,曇時々晴一時雨,8,1
1995/8/25,晴,8,1
1995/8/26,晴一時雨,8,1
1995/8/27,晴一時雨,8,1
1995/8/28,晴一時雨,8,1
1995/8/29,晴,8,1
1995/8/30,晴,8,1
1995/8/31,晴時々薄曇,8,1
1995/9/1,晴時々曇,8,1
1995/9/2,晴一時曇,8,1
1995/9/3,晴,8,1
1995/9/4,晴時々曇,8,1
1995/9/5,薄曇時々晴一時雨,8,1
1995/9/6,晴一時薄曇,8,1
1995/9/7,晴時々薄曇,8,1
1995/9/8,薄曇時々晴,8,1
1995/9/9,晴,8,1
1995/9/10,晴一時雨,8,1
1995/9/11,晴一時曇,8,1
1995/9/12,晴一時曇,8,1
1995/9/13,晴,8,1
1995/9/14,晴,8,1
1995/9/15,晴,8,1
1995/9/16,曇時々雨一時晴,8,1
1995/9/17,晴一時雨,8,1
1995/9/18,晴,8,1
1995/9/19,晴,8,1
1995/9/20,曇一時晴,8,1
1995/9/21,雨,8,1
1995/9/22,雨,8,1
1995/9/23,曇時々雨、大風・雷を伴う,8,1
1995/9/24,晴後曇,8,1
1995/9/25,曇時々雨,8,1
1995/9/26,曇時々雨一時晴,8,1
1995/9/27,曇,8,1
1995/9/28,曇時々晴,8,1
1995/9/29,雨一時曇,8,1
1995/9/30,曇時々晴一時雨、雷を伴う,8,1
1995/10/1,晴時々曇一時雨,8,1
1995/10/2,晴,8,1
1995/10/3,晴時々雨、雷を伴う,8,1
1995/10/4,晴,8,1
1995/10/5,薄曇時々晴,8,1
1995/10/6,晴時々曇一時雨,8,1
1995/10/7,曇時々雨一時晴,8,1
1995/10/8,晴,8,1
1995/10/9,晴時々曇,8,1
1995/10/10,晴,8,1
1995/10/11,晴,8,1
1995/10/12,晴,8,1
1995/10/13,晴,8,1
1995/10/14,晴一時雨,8,1
1995/10/15,雨時々晴一時曇,8,1
1995/10/16,晴,8,1
1995/10/17,晴一時曇,8,1
1995/10/18,雨時々曇一時晴,8,1
1995/10/19,大雨一時曇、雷を伴う,8,1
1995/10/20,晴時々曇一時雨,8,1
1995/10/21,晴,8,1
1995/10/22,晴時々曇一時雨,8,1
1995/10/23,晴,8,1
1995/10/24,曇時々雨一時晴,8,1
1995/10/25,晴時々曇一時雨,8,1
1995/10/26,晴一時曇,8,1
1995/10/27,曇,8,1
1995/10/28,雨時々曇一時晴,8,1
1995/10/29,晴時々曇一時雨,8,1
1995/10/30,晴一時雨,8,1
1995/10/31,雨後曇,8,1
1995/11/1,晴,8,1
1995/11/2,晴一時曇,8,1
1995/11/3,晴一時曇,8,1
1995/11/4,曇,8,1
1995/11/5,曇,8,1
1995/11/6,曇時々雨,8,1
1995/11/7,大雨時々曇一時晴、雷を伴う,8,1
1995/11/8,曇一時晴,8,1
1995/11/9,晴時々曇,8,1
1995/11/10,晴後曇,8,1
1995/11/11,曇,8,1
1995/11/12,曇,8,1
1995/11/13,晴,8,1
1995/11/14,晴後曇時々雨,8,1
1995/11/15,晴一時曇,8,1
1995/11/16,雨時々曇,8,1
1995/11/17,晴,8,1
1995/11/18,晴,8,1
1995/11/19,晴一時曇,8,1
1995/11/20,雨時々曇,8,1
1995/11/21,曇一時晴,8,1
1995/11/22,曇一時晴,8,1
1995/11/23,曇一時雨,8,1
1995/11/24,曇時々晴一時雨,8,1
1995/11/25,曇時々晴,8,1
1995/11/26,晴,8,1
1995/11/27,晴時々曇,8,1
1995/11/28,晴後曇,8,1
1995/11/29,曇時々雨,8,1
1995/11/30,晴後曇,8,1
1995/12/1,晴時々曇一時雨,8,1
1995/12/2,晴時々曇,8,1
1995/12/3,曇時々晴一時雨,8,1
1995/12/4,曇時々晴一時雨,8,1
1995/12/5,曇時々晴一時雨,8,1
1995/12/6,晴時々曇,8,1
1995/12/7,晴一時雨,8,1
1995/12/8,曇一時雨,8,1
1995/12/9,晴一時曇,8,1
1995/12/10,晴,8,1
1995/12/11,曇時々晴一時雨,8,1
1995/12/12,曇時々雨,8,1
1995/12/13,快晴,8,1
1995/12/14,晴,8,1
1995/12/15,曇時々晴一時雨,8,1
1995/12/16,晴時々曇,8,1
1995/12/17,雨後曇,8,1
1995/12/18,晴時々曇,8,1
1995/12/19,雨後曇,8,1
1995/12/20,晴時々曇,8,1
1995/12/21,曇一時雨,8,1
1995/12/22,晴一時曇,8,1
1995/12/23,晴,8,1
1995/12/24,曇時々雨,8,1
1995/12/25,曇時々雨,8,1
1995/12/26,曇時々晴一時雨,8,1
1995/12/27,晴一時曇,8,1
1995/12/28,晴,8,1
1995/12/29,曇,8,1
1995/12/30,曇時々晴一時雨,8,1
1995/12/31,晴一時雨,8,1
1996/1/1,晴,8,1
1996/1/2,晴一時曇,8,1
1996/1/3,晴,8,1
1996/1/4,晴一時曇,8,1
1996/1/5,晴,8,1
1996/1/6,晴,8,1
1996/1/7,晴,8,1
1996/1/8,晴後雨,8,1
1996/1/9,曇時々雨,8,1
1996/1/10,曇時々雨,8,1
1996/1/11,晴,8,1
1996/1/12,曇,8,1
1996/1/13,曇後一時雨,8,1
1996/1/14,晴,8,1
1996/1/15,晴,8,1
1996/1/16,曇時々晴一時雨,8,1
1996/1/17,晴一時曇,8,1
1996/1/18,曇時々雨,8,1
1996/1/19,雨,8,1
1996/1/20,曇,8,1
1996/1/21,晴,8,1
1996/1/22,曇時々雨,8,1
1996/1/23,曇一時雨,8,1
1996/1/24,晴一時曇,8,1
1996/1/25,晴一時曇,8,1
1996/1/26,曇時々晴一時雨,8,1
1996/1/27,雨時々曇,8,1
1996/1/28,曇一時晴,8,1
1996/1/29,曇時々雨,8,1
1996/1/30,曇,8,1
1996/1/31,曇一時晴,8,1
1996/2/1,雨一時曇,8,1
1996/2/2,曇時々雨一時晴,8,1
1996/2/3,雨時々曇一時晴,8,1
1996/2/4,晴,8,1
1996/2/5,曇後晴,8,1
1996/2/6,曇一時晴,8,1
1996/2/7,曇,8,1
1996/2/8,晴一時曇,8,1
1996/2/9,曇時々雨,8,1
1996/2/10,曇一時雨,8,1
1996/2/11,曇後晴,8,1
1996/2/12,晴,8,1
1996/2/13,晴一時曇,8,1
1996/2/14,曇時々雨一時晴,8,1
1996/2/15,晴時々曇一時雨,8,1
1996/2/16,晴,8,1
1996/2/17,快晴,8,1
1996/2/18,雨時々曇,8,1
1996/2/19,曇一時雨,8,1
1996/2/20,曇時々雨,8,1
1996/2/21,雨時々曇,8,1
1996/2/22,曇一時雨,8,1
1996/2/23,曇一時晴,8,1
1996/2/24,雨時々曇,8,1
1996/2/25,曇一時雨,8,1
1996/2/26,曇一時雨,8,1
1996/2/27,曇一時雨,8,1
1996/2/28,晴時々曇,8,1
1996/2/29,晴,8,1
1996/3/1,曇時々晴,8,1
1996/3/2,晴一時曇,8,1
1996/3/3,晴,8,1
1996/3/4,晴,8,1
1996/3/5,晴,8,1
1996/3/6,晴,8,1
1996/3/7,曇,8,1
1996/3/8,曇時々雨一時晴,8,1
